"crm_cd_desc","category","total"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","00:00-04:00","7945"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","04:00-08:00","3908"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","08:00-12:00","7857"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","12:00-16:00","10537"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","16:00-20:00","11858"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","20:00-24:00","11420"
"BATTERY - SIMPLE ASSAULT","00:00-04:00","7397"
"BATTERY - SIMPLE ASSAULT","04:00-08:00","5073"
"BATTERY - SIMPLE ASSAULT","08:00-12:00","13912"
"BATTERY - SIMPLE ASSAULT","12:00-16:00","17547"
"BATTERY - SIMPLE ASSAULT","16:00-20:00","17749"
"BATTERY - SIMPLE ASSAULT","20:00-24:00","13161"
"BURGLARY","00:00-04:00","10304"
"BURGLARY","04:00-08:00","8110"
"BURGLARY","08:00-12:00","8797"
"BURGLARY","12:00-16:00","10152"
"BURGLARY","16:00-20:00","12581"
"BURGLARY","20:00-24:00","7927"
"BURGLARY FROM VEHICLE","00:00-04:00","8059"
"BURGLARY FROM VEHICLE","04:00-08:00","5040"
"BURGLARY FROM VEHICLE","08:00-12:00","7568"
"BURGLARY FROM VEHICLE","12:00-16:00","9283"
"BURGLARY FROM VEHICLE","16:00-20:00","18382"
"BURGLARY FROM VEHICLE","20:00-24:00","15185"
"INTIMATE PARTNER - SIMPLE ASSAULT","00:00-04:00","8224"
"INTIMATE PARTNER - SIMPLE ASSAULT","04:00-08:00","3916"
"INTIMATE PARTNER - SIMPLE ASSAULT","08:00-12:00","7206"
"INTIMATE PARTNER - SIMPLE ASSAULT","12:00-16:00","7356"
"INTIMATE PARTNER - SIMPLE ASSAULT","16:00-20:00","9010"
"INTIMATE PARTNER - SIMPLE ASSAULT","20:00-24:00","11000"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","00:00-04:00","3460"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","04:00-08:00","4541"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","08:00-12:00","7709"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","12:00-16:00","7236"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","16:00-20:00","11658"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","20:00-24:00","6710"
"THEFT OF IDENTITY","00:00-04:00","9343"
"THEFT OF IDENTITY","04:00-08:00","9498"
"THEFT OF IDENTITY","08:00-12:00","18575"
"THEFT OF IDENTITY","12:00-16:00","14260"
"THEFT OF IDENTITY","16:00-20:00","7431"
"THEFT OF IDENTITY","20:00-24:00","3430"
"THEFT PLAIN - PETTY ($950 & UNDER)","00:00-04:00","4204"
"THEFT PLAIN - PETTY ($950 & UNDER)","04:00-08:00","4473"
"THEFT PLAIN - PETTY ($950 & UNDER)","08:00-12:00","11666"
"THEFT PLAIN - PETTY ($950 & UNDER)","12:00-16:00","15654"
"THEFT PLAIN - PETTY ($950 & UNDER)","16:00-20:00","11793"
"THEFT PLAIN - PETTY ($950 & UNDER)","20:00-24:00","5927"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","00:00-04:00","8595"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","04:00-08:00","6152"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","08:00-12:00","9591"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","12:00-16:00","10622"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","16:00-20:00","13907"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","20:00-24:00","12225"
"VEHICLE - STOLEN","00:00-04:00","13336"
"VEHICLE - STOLEN","04:00-08:00","11307"
"VEHICLE - STOLEN","08:00-12:00","14928"
"VEHICLE - STOLEN","12:00-16:00","18048"
"VEHICLE - STOLEN","16:00-20:00","32242"
"VEHICLE - STOLEN","20:00-24:00","25329"
