"crm_cd_desc","day_occurred","total"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Monday   ","7385"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Tuesday  ","6810"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Wednesday","7181"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Thursday ","7127"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Friday   ","7687"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Saturday ","8663"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Sunday   ","8672"
"BATTERY - SIMPLE ASSAULT","Monday   ","10276"
"BATTERY - SIMPLE ASSAULT","Tuesday  ","9978"
"BATTERY - SIMPLE ASSAULT","Wednesday","10247"
"BATTERY - SIMPLE ASSAULT","Thursday ","10230"
"BATTERY - SIMPLE ASSAULT","Friday   ","11006"
"BATTERY - SIMPLE ASSAULT","Saturday ","11627"
"BATTERY - SIMPLE ASSAULT","Sunday   ","11475"
"BURGLARY","Monday   ","8027"
"BURGLARY","Tuesday  ","7917"
"BURGLARY","Wednesday","8242"
"BURGLARY","Thursday ","8464"
"BURGLARY","Friday   ","10031"
"BURGLARY","Saturday ","8235"
"BURGLARY","Sunday   ","6955"
"BURGLARY FROM VEHICLE","Monday   ","8463"
"BURGLARY FROM VEHICLE","Tuesday  ","8537"
"BURGLARY FROM VEHICLE","Wednesday","8777"
"BURGLARY FROM VEHICLE","Thursday ","9046"
"BURGLARY FROM VEHICLE","Friday   ","9828"
"BURGLARY FROM VEHICLE","Saturday ","9780"
"BURGLARY FROM VEHICLE","Sunday   ","9086"
"INTIMATE PARTNER - SIMPLE ASSAULT","Monday   ","6397"
"INTIMATE PARTNER - SIMPLE ASSAULT","Tuesday  ","5845"
"INTIMATE PARTNER - SIMPLE ASSAULT","Wednesday","5996"
"INTIMATE PARTNER - SIMPLE ASSAULT","Thursday ","5962"
"INTIMATE PARTNER - SIMPLE ASSAULT","Friday   ","6503"
"INTIMATE PARTNER - SIMPLE ASSAULT","Saturday ","7511"
"INTIMATE PARTNER - SIMPLE ASSAULT","Sunday   ","8498"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","Monday   ","5822"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","Tuesday  ","5659"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","Wednesday","5886"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","Thursday ","6067"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","Friday   ","6699"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","Saturday ","5741"
"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)","Sunday   ","5440"
"THEFT OF IDENTITY","Monday   ","9971"
"THEFT OF IDENTITY","Tuesday  ","9178"
"THEFT OF IDENTITY","Wednesday","9680"
"THEFT OF IDENTITY","Thursday ","9395"
"THEFT OF IDENTITY","Friday   ","9667"
"THEFT OF IDENTITY","Saturday ","7615"
"THEFT OF IDENTITY","Sunday   ","7031"
"THEFT PLAIN - PETTY ($950 & UNDER)","Monday   ","7571"
"THEFT PLAIN - PETTY ($950 & UNDER)","Tuesday  ","7602"
"THEFT PLAIN - PETTY ($950 & UNDER)","Wednesday","8050"
"THEFT PLAIN - PETTY ($950 & UNDER)","Thursday ","7820"
"THEFT PLAIN - PETTY ($950 & UNDER)","Friday   ","8652"
"THEFT PLAIN - PETTY ($950 & UNDER)","Saturday ","7780"
"THEFT PLAIN - PETTY ($950 & UNDER)","Sunday   ","6242"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","Monday   ","8597"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","Tuesday  ","8340"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","Wednesday","8336"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","Thursday ","8379"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","Friday   ","9446"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","Saturday ","9142"
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","Sunday   ","8852"
"VEHICLE - STOLEN","Monday   ","15935"
"VEHICLE - STOLEN","Tuesday  ","15790"
"VEHICLE - STOLEN","Wednesday","16313"
"VEHICLE - STOLEN","Thursday ","16269"
"VEHICLE - STOLEN","Friday   ","17860"
"VEHICLE - STOLEN","Saturday ","17227"
"VEHICLE - STOLEN","Sunday   ","15796"
